年份	高校毕业生	考研人数
1982	45.7	
1983	33.5	
1984	28.7	
1985	31.6	
1986	39.3	
1987	53.2	
1988	55.4	
1989	57.62	
1990	61.36	
1991	61.43	
1992	60.42	
1993	57.07	
1994	63.74	11.4
1995	80.54	15.5
1996	83.86	20.4
1997	82.91	24.2
1998	82.98	27.4
1999	84.76	31.9
2000	94.98	39.2
2001	103.63	46
2002	133.73	62.4
2003	187.75	79.7
2004	239.1	94.5
2005	306.8	117.2
2006	377.47	127.12
2007	447.79	128.2
2008	512	120
2009	531.1	124.6
2010	575.4	140.6
2011	608.2	151.1
2012	624.7	165.6
2013	699	176
2014	727	172
2015	749	164.9
2016	765	177
2017	795	201
2018	821	238
2019	834	290
2020	874	341
2021	909	377
2022	1076	457
